Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Stone art (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
IA;777010118;Suomussalmi;Komeronniemi 1;KM;20368;;7228836;3598012;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;92;63;31;;;;;KM 20368
IA;777010116;Suomussalmi;Putikka;KM;20374;1;7216165;3597431;199;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;2;;FALSE;kvartsiitti;91;62;30;;;;;KM 20374_1
IA;1000000421;Sodankylä;Autiokenttä;KM;20585;15;7513200;3491480;196;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;vuolukivi;43;43;;;;;;KM 20585_15
IA;uusi 613;Vaala;Hiisiniemi;KM;20943;;7139260;3496180;120;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;116;39;22;;;;molemmilla lappeilla uurteet;KM 20943
IA;uusi 629;Myrskylä;Kankkila;KM;20996;;6723531;3432440;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;44;80;31;;;;;KM 20996
IA;620010004;Puolanka;Arola;KM;21291;;7160360;3535700;167;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;118;45;23;;;;;KM 21291
IA;777010209;Suomussalmi;Puras;KM;21333;;7203171;3620296;227;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;52;48;8;;;;;KM 21333
IA;uusi 718;Lapua;Lapua;KM;21422;3;6991065;3296572;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;95;49;28;;;;;KM 21422_3
IA;uusi 721;Kristiinankaupunki;Dagsmark;KM;21425;3;6914718;3221362;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;70;51;28;;;;;KM 21425_3
IA;uusi 729;Vöyri                                                                                               ;Vöyri;KM;21433;;7012155;3261488;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;71;50;24;;;;;KM 21433
IA;uusi 730;Närpiö;Ylimarkku;KM;21434;;6958093;3215110;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;75;54;30;;;;;KM 21434
IA;uusi 8395;Suomi;;KM;21436;1;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;91;49;28;;;;;KM 21436_1
IA;uusi 8395;Suomi;;KM;21436;2;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;82;45;27;;;;;KM 21436_2
IA;uusi 8395;Suomi;;KM;21436;4;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;88;58;29;;;;;KM 21436_4
IA;uusi 8395;Suomi;;KM;21436;9;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;hiekkakivi;87;49;28;;;;;KM 21436_9
IA;uusi 8395;Suomi;;KM;21436;19;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;89;37;25;;;;;KM 21436_19
IA;uusi 8395;Suomi;;KM;21436;64;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;hiekkakivi;73;44;26;;;;;KM 21436_64
IA;uusi 746;Maalahti;Kopparby;KM;21496;;6992939;3223227;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;FALSE;kvartsiitti;88;61;37;;;;;KM 21496
IA;1000006834;Tammela;Aronen;KM;21522;;6743704;3310496;102;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;hiekkakivi;88;51;30;;;;;KM 21522
IA;uusi 782;Urjala;Taka-Hollo;KM;21617;;6782998;3301359;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;FALSE;hiekkakivi;81;60;36;;;;;KM 21617
IA;1000023573;Hausjärvi                                                                                           ;Marinaho                                                                                            ;KM;21760;;6743516;3397831;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;61;33;11;;KM 21760
IA;uusi 839;Haapajärvi;Eskola;KM;21915;;7072091;3414810;95;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;;;TRUE;kvartsiitti;86;45;28;;;;;KM 21915
IA;uusi 842;Muonio;Rantapudas;KM;21930;2;7544764;3360595;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;45;42;8;;;;;KM 21930_2
IA;uusi 139;Pielavesi;Kana-aho;KM;22794;;7023280;3494550;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;vuolukivi;35;35;15;;;;;KM 22794
IA;uusi 154;Tohmajärvi;Nousiala;KM;22871;;6917494;3658326;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;vuolukivi;31;31;11;;;;;KM 22871
IA;uusi 175;Salo;Strömma Sandåkern;KM;23042;;6681649;3272356;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;105;57;37;;;;;KM 23042
IA;1000005567;Laitila;Ali-Pentti;KM;23089;;6765569;3205487;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;100;45;31;;;;;KM 23089
IA;uusi 194;Tuusniemi;Karankaniemi;KM;23172;;6978489;3579910;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;86;52;33;;;;;KM 23172
IA;uusi 195;Nakkila;Kuismala;KM;23173;;6818107;3234756;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;87;49;35;;;;;KM 23173
IA;uusi 247;Vaasa;Peräluhta;KM;23444;;7012499;3250791;12;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;93;38;18;;;;;KM 23444
IA;1000006840;Tammela;Peltola 2;KM;23588;;6743108;3318931;100;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;89;44;26;;;;;KM 23588
IA;uusi 283;Aura;Kivimäki;KM;23711;;6780828;3236419;50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;56;56;13;;;;;KM 23711
IA;uusi 309;Viitasaari;Tuntematon;KM;23830;;6998261;3442326;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;103;52;27;;;;;KM 23830
IA;564010022;Oulu;Välikangas;KM;23911;5;7208240;3430760;15;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;;;;;;;;KM 23911_5
IA;182040040;Jämsä;Kukkarosaari;KM;24293;;6855737;3420240;79;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;90;43;25;;;;;KM 24293
IA;uusi 460;Oulainen;Tukala;KM;24833;;7124492;3407156;88;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;FALSE;kiillegneissi;37;37;9;;;;;KM 24833
IA;607040013;Polvijärvi;Nisäjärvi;KM;25212;;6985750;3619136;98;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;88;45;25;;;;;KM 25212
IA;1000002330;Mikkeli;Vanha-Kyyhkylä;KM;25712;12;6836440;3515540;82,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;49;49;21;;;;;KM 25712_12
IA;a117;Veteli;Huhmarniemi;KM;25779;;7034950;3340225;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;;;;39;20;13;;KM 25779
IA;a127;Lieto;Rauhamaa;KM;25830;;6722025;3248000;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;96;41;26;;;;;KM 25830
IA;a140;Säkylä ;Härksaari;KM;25889;;6776448;3251494;50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;89;45;24;;;;;KM 25889
IA;109010023;Hämeenlinna;Varikonniemi;KM;26058;2215;6768743;3363266;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;43;26;13;;KM 26058_2215
IA;uusi 8400;Haapavesi;Haapavesi?;KM;26219;169;7116187;3420535;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;47;44;11;;;;;KM 26219_169
IA;uusi 521;Siikajoki;Kankaanpää;KM;28020;;7171573;3409171;47;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;92;39;26;;;;;KM 28020
IA;uusi 528;Kangasala;Haaviston kansakoulu;KM;28078;2;6811596;3347040;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;39;37;10;;;;;KM 28078_2
IA;uusi 528;Kangasala;Haaviston kansakoulu;KM;28078;3;6811596;3347040;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;53;50;9;;;;;KM 28078_3
IA;uusi 531;Kangasala;Katila;KM;28090;5;6818473;3342307;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;52;27;8;;KM 28090_5
IA;uusi 592;Inkoo;Mäntypolku;KM;28362;;6663585;3333242;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsiitti;82;55;30;;;;;KM 28362
IA;1000005575;Laitila;Isoniittu;KM;28735;2;6768109;3207026;12,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;hiekkakivi;78;51;37;;;;;KM 28735_2
IA;b57;Raasepori;Bredslätt;KM;28901;;6660540;3313196;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;75;46;30;;;;;KM 28901
IA;b105;Pälkäne;Kotiseutumuseo;KM;29239;2;6806213;3354074;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;45;45;9;;;;;KM 29239_2
IA;b163;Juva;Vihotunlampi;KM;29666;;6864400;3540600;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;42;40;8;;;;;KM 29666
IA;uusi 607;Kemiönsaari;Helgeboda;KM;30444;;6684592;3253153;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;;87;53;50;;;;;KM 30444
IA;uusi 879;Pälkäne;Epaala;KM;30553;2;6808898;3353503;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;;;;47;41;34;;KM 30553_2
IA;uusi 897;Hollola;Hatsina;KM;30772;;6771746;3409860;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;FALSE;kiilleliuske;56;56;;;;;;KM 30772
IA;16010021;Asikkala;Iisakkila;KM;31435;65;6799100;3429340;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;64;64;10;;;;;KM 31435_65
IA;604010008;Pirkkala;Kotopelto/Riihentausta;KM;31454;3;6821980;3317846;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;;;;koristeltu samankeskisillä urilla;KM 31454_3
IA;604010008;Pirkkala;Kotopelto/Riihentausta;KM;31454;3;6821980;3317846;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;;;;;KM 31454_3
IA;604010008;Pirkkala;Kotopelto/Riihentausta;KM;31454;3;6821980;3317846;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;;;;yksi koristeura;KM 31454_3
IA;uusi 995;Salo;Suomela;KM;31553;;6705181;3282930;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;;81;52;34;;;;;KM 31553
IA;1000016612;Ylöjärvi;Pappilanniemi;KM;32092;3;6832301;3319501;120;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;3;;FALSE;kiilleliuske;;;;54;29;9;puolikas;KM 32092_3
IA;536010013;Nokia;Mattila;KM;32213;25;6822157;3311605;90;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;;52;52;7;;;;;KM 32213_25
IA;uusi 1138;Raasepori;Grannas;KM;32868;;6663337;3297039;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsi;55;40;30;;;;;KM 32868
IA;uusi 1139;Raasepori;Skjedö;KM;32869;;6644176;3297742;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;67;43;25;;;;;KM 32869
IA;97040001;Hirvensalmi;Kuusela;KM;33138;;6835420;3488420;127;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;49;49;10;;;;;KM 33138
IA;uusi 1192;Salo;Falkinpelto;KM;33309;;6677308;3273235;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;83;35;24;;;;;KM 33309
IA;uusi 1194;Orimattila;Tokkola;KM;33314;;6745320;3433320;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;86;42;19;;;;;KM 33314
IA;493010002;Sastamala;Tiainen;KM;33749;4;6827140;3293510;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;;;;51;51;6;;KM 33749_4
IA;uusi 1251;Virolahti;Hyypiänhiekka;KM;34001;;6710380;3537400;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;keramiikka;44;44;19;;;;tai jotain kiveä;KM 34001
IA;uusi 1257;Sauvo;Raitniemi;KM;34026;;6695400;3260880;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;FALSE;kvartsiitti;79;43;28;;;;;KM 34026
IA;uusi 1263;Laitila;Sonkki;KM;34045;;6761093;3218638;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;50;46;9;;;;;KM 34045
IA;uusi 1283;Tuusula;Pirjola;KM;34365;1;6700348;3394289;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;49;49;13;;;;;KM 34365_1
IA;uusi 1283;Tuusula;Pirjola;KM;34365;2;6700348;3394289;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;49;49;13;;;;;KM 34365_2
IA;uusi 1283;Tuusula;Pirjola;KM;34365;3;6700348;3394289;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;49;49;13;;;;;KM 34365_3
IA;1000001432;Hartola;Ekonpelto 1;KM;35039;43;6829830;3448390;97,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;57;57;16;;;;;KM 35039_43
IA;1000003341;Kitee;Hiidenniemi;KM;36423;4491;6863023;3642452;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;harmaa liuske;40;40;10;;;;;KM 36423_4491
IA;uusi 1900;Haapavesi;Pyhäjokivarsi;KM        ;38153;6;7119189;3412582;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;kiilleliuske;60;60;13;;;;;KM         38153_6
IA;50010047;Eura;Kauttuan vanhan kylän paikka;KM        ;38201;20;6788201;3238791;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;FALSE;hiekkakivi;47;47;12;;;;;KM         38201_20
IA;uusi 8334;Kokemäki;Ylistaro;Koke;2870;;6802393;3253214;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;1;;TRUE;;49;44;7;;;;nähty kortti Satakunnan museossa;Koke 2870
IA;turku65 ;;;Linder;19;;6676220;3325707;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Stone artefacts;Fire-striking stone;Fire-striking stone;;Soikea tuluskivi;1;;TRUE;kvartsi;76;37;19;0;0;0;;Linder 19
IA;turku121;;;Linder;68;;6688045;3339371;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;vaaleanruskea liuske;40;38;12;0;0;0;;Linder 68
IA;turku121;;;Linder;68;;6688045;3339371;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;vaaleanruskea liuske;40;38;12;0;0;0;;Linder 68
IA;turku94;;;Linder;125;;6678452;3333011;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;vuolukivi;58;57;9;0;0;0;;Linder 125
IA;turku94;;;Linder;125;;6678452;3333011;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Stone spindle whorl;Spindle whorl;;Värttinänpyörä;2;;TRUE;vuolukivi;58;57;9;0;0;0;;Linder 125
